#group,false,false,false
#datatype,string,long,dateTime:RFC3339
#default,,,
,id,p_count,time
,robo,0,2026-02-22T22:00:14.980055871Z
,robo,0,2026-02-22T22:05:15.945373781Z
,robo,0,2026-02-22T22:10:16.496279389Z
,robo,0,2026-02-22T22:15:17.173697939Z
,robo,0,2026-02-22T22:20:17.690690329Z
,robo,0,2026-02-22T22:25:18.84939459Z
,robo,0,2026-02-22T22:30:19.4966891Z
,robo,0,2026-02-22T22:35:20.051688227Z
,robo,0,2026-02-22T22:40:20.902082097Z
,robo,0,2026-02-22T22:45:21.549498319Z
,robo,0,2026-02-22T22:50:22.113765148Z
,robo,0,2026-02-22T22:55:22.748317177Z
,robo,0,2026-02-22T23:00:23.403261577Z
,robo,0,2026-02-22T23:05:23.950930408Z
,robo,0,2026-02-22T23:10:24.588117228Z
,robo,0,2026-02-22T23:15:25.250033108Z
,robo,0,2026-02-22T23:20:25.891418242Z
,robo,0,2026-02-22T23:25:26.448605716Z
,robo,0,2026-02-22T23:30:27.090720916Z
,robo,0,2026-02-22T23:35:27.750586081Z
,robo,0,2026-02-22T23:40:28.290505838Z
,robo,0,2026-02-22T23:45:28.951652141Z
,robo,0,2026-02-22T23:50:29.479382412Z
,robo,0,2026-02-22T23:55:30.05080656Z
,robo,0,2026-02-23T00:00:30.691075904Z
,robo,0,2026-02-23T00:05:31.228871513Z
,robo,0,2026-02-23T00:10:31.891120316Z
,robo,0,2026-02-23T00:15:32.439357925Z
,robo,0,2026-02-23T00:20:33.095997353Z
,robo,0,2026-02-23T00:25:33.631124152Z
,robo,0,2026-02-23T00:30:34.285979922Z
,robo,0,2026-02-23T00:35:34.830019178Z
,robo,0,2026-02-23T00:40:35.366578562Z
,robo,0,2026-02-23T00:45:36.03097625Z
,robo,0,2026-02-23T00:50:36.671959537Z
,robo,0,2026-02-23T00:55:37.731490252Z
,robo,0,2026-02-23T01:00:38.390244659Z
,robo,0,2026-02-23T01:05:38.934852827Z
,robo,0,2026-02-23T01:10:39.591081139Z
,robo,0,2026-02-23T01:15:40.130509005Z
,robo,0,2026-02-23T01:20:40.78443277Z
,robo,0,2026-02-23T01:25:41.332332608Z
,robo,0,2026-02-23T01:30:42.088943625Z
,robo,0,2026-02-23T01:35:42.631756842Z
,robo,0,2026-02-23T01:40:43.291068248Z
,robo,0,2026-02-23T01:45:43.929542543Z
,robo,0,2026-02-23T01:50:44.46893771Z
,robo,0,2026-02-23T01:55:45.135046851Z
,robo,0,2026-02-23T02:00:45.771923623Z
,robo,0,2026-02-23T02:05:46.431200141Z
,robo,0,2026-02-23T02:10:47.068805317Z
,robo,0,2026-02-23T02:15:47.729197293Z
,robo,0,2026-02-23T02:20:48.272215911Z
,robo,0,2026-02-23T02:25:48.930206499Z
,robo,0,2026-02-23T02:30:49.470901353Z
,robo,0,2026-02-23T02:35:50.130988892Z
,robo,0,2026-02-23T02:40:50.77113196Z
,robo,0,2026-02-23T02:45:51.432218943Z
,robo,0,2026-02-23T02:50:52.061579607Z
,robo,0,2026-02-23T02:55:52.728876343Z
,robo,0,2026-02-23T03:00:53.363669702Z
,robo,0,2026-02-23T03:05:54.008175537Z
,robo,0,2026-02-23T03:10:54.671134852Z
,robo,0,2026-02-23T03:15:55.157638123Z
,robo,0,2026-02-23T03:20:55.964579558Z
,robo,0,2026-02-23T03:25:57.130575938Z
,robo,0,2026-02-23T03:30:57.794590782Z
,robo,0,2026-02-23T03:35:58.439202272Z
,robo,0,2026-02-23T03:40:58.991260665Z
,robo,0,2026-02-23T03:45:59.629058281Z
,robo,0,2026-02-23T03:51:00.298250067Z
,robo,0,2026-02-23T03:56:00.931144321Z
,robo,0,2026-02-23T04:01:01.588358638Z
,robo,0,2026-02-23T04:06:02.232295037Z
,robo,0,2026-02-23T04:11:02.891442336Z
,robo,0,2026-02-23T04:16:03.428813271Z
,robo,0,2026-02-23T04:21:04.091208002Z
,robo,0,2026-02-23T04:26:04.729413188Z
,robo,0,2026-02-23T04:31:05.382487041Z
,robo,0,2026-02-23T04:36:06.02939144Z
,robo,0,2026-02-23T04:41:06.695152578Z
,robo,0,2026-02-23T04:46:07.228797575Z
,robo,0,2026-02-23T04:51:07.874917115Z
,robo,0,2026-02-23T04:56:08.531501586Z
,robo,0,2026-02-23T05:01:09.123588936Z
,robo,1,2026-02-23T05:06:09.828863192Z
,robo,0,2026-02-23T05:11:10.476900326Z
,robo,0,2026-02-23T05:16:11.030134935Z
,robo,0,2026-02-23T05:21:11.669574764Z
,robo,0,2026-02-23T05:26:12.330774303Z
,robo,0,2026-02-23T05:31:12.994612442Z
,robo,0,2026-02-23T05:36:13.523803706Z
,robo,0,2026-02-23T05:41:14.071215719Z
,robo,0,2026-02-23T05:46:14.731528029Z
,robo,0,2026-02-23T05:51:15.268842277Z
,robo,0,2026-02-23T05:56:16.432709455Z
,robo,0,2026-02-23T06:01:17.093649063Z
,robo,0,2026-02-23T06:06:17.631229576Z
,robo,0,2026-02-23T06:11:18.273950059Z
,robo,0,2026-02-23T06:16:18.93096207Z
,robo,0,2026-02-23T06:21:19.590650453Z
,robo,0,2026-02-23T06:26:20.13076491Z
,robo,0,2026-02-23T06:31:20.769670624Z
,robo,0,2026-02-23T06:36:21.328992787Z
,robo,0,2026-02-23T06:41:21.968790879Z
,robo,0,2026-02-23T06:46:22.529077225Z
,robo,0,2026-02-23T06:51:23.164925845Z
,robo,1,2026-02-23T06:56:23.828629488Z
,robo,2,2026-02-23T07:01:24.372272368Z
,robo,1,2026-02-23T07:06:25.130260169Z
,robo,1,2026-02-23T07:11:25.692303092Z
,robo,3,2026-02-23T07:16:26.330715627Z
,robo,0,2026-02-23T07:21:26.974346038Z
,robo,1,2026-02-23T07:26:27.649872338Z
,robo,2,2026-02-23T07:31:28.169420901Z
,robo,1,2026-02-23T07:36:28.815504744Z
,robo,1,2026-02-23T07:41:29.457704922Z
,robo,0,2026-02-23T07:46:30.014793725Z
,robo,0,2026-02-23T07:51:30.690546341Z
,robo,0,2026-02-23T07:56:31.334820555Z
